('YP_003982012', 138)
('YP_006797360', ('YP_006798495', '0.505001455346201'))
('YP_003978904', ('YP_003978800', '0.92992638876684'))
('YP_003982585', ('YP_003976604', '0.928673457386505'))
('YP_003979719', ('YP_003976513', '0.928812689000457'))
('YP_003982211', ('YP_003979311', '0.93120325105747'))
('YP_002729294', ('YP_002729290', '0.998562966267505'))
('YP_003982217', ('YP_003980805', '0.931364994484689'))
('YP_003982218', ('YP_003976578', '0.948701454719988'))
('YP_004955700', ('YP_004955054', '0.93120325105747'))
('YP_004955701', ('YP_004955700', '0.994649402122168'))
('YP_004955702', ('YP_004955703', '0.997183808103558'))
('YP_005394159', ('YP_005393967', '0.438247179387992'))
('YP_003982561', ('YP_003982565', '0.921602051030086'))
('YP_004956167', ('YP_004956178', '0.93129898803171'))
('YP_003976380', ('YP_003976334', '0.931215056956901'))
('YP_003976670', ('YP_003982585', '0.931203251074079'))
('YP_005622570', ('YP_005623247', '0.931304506945311'))
('YP_005625378', ('YP_005623145', '0.783772417942124'))
('YP_003982105', ('YP_003981490', '0.911016961648591'))
('YP_003982106', ('YP_003976380', '0.931214994797548'))
('YP_003982100', ('YP_003982097', '0.999999922292855'))
('YP_003976810', ('YP_003976598', '0.931587203309039'))
('YP_005394749', ('YP_005393834', '0.999999999999993'))
('YP_005625400', ('YP_005625402', '0.93120325105747'))
('YP_003981487', ('YP_003980805', '0.931369409235787'))
('YP_005625403', ('YP_005625158', '0.928753145381454'))
('YP_003978628', ('YP_003980891', '0.879004530928181'))
('YP_003978621', ('YP_003980161', '0.931586197580847'))
('YP_003978624', ('YP_003977567', '0.930367657728635'))
('YP_003976497', ('YP_003976498', '0.997407306789239'))
('YP_003981809', ('YP_003978495', '0.93120325105747'))
('YP_003977655', ('YP_003978918', '0.999906762435703'))
('YP_005622750', ('YP_005622749', '0.998919466682413'))
('YP_005622753', ('YP_005622754', '0.994667005804966'))
('YP_003977656', ('YP_003976431', '0.931509245846482'))
('YP_003976498', ('YP_003976530', '0.931519142666941'))
('YP_005622756', ('YP_005624527', '0.931224802785678'))
('YP_003981849', ('YP_003979215', '0.765810093102736'))
('YP_003976258', ('YP_003976259', '0.997335194135008'))
('YP_003976707', ('YP_003978632', '0.977449898538105'))
('YP_004954947', ('YP_004954951', '0.999999999999824'))
('YP_004954949', ('YP_004954962', '0.954581311725528'))
('YP_003977389', ('YP_003977388', '0.97238775008479'))
('YP_003977388', ('YP_003981872', '0.645888172446333'))
('YP_003981665', ('YP_003977588', '0.916877616820188'))
('YP_005394142', ('YP_005394143', '0.999999349196925'))
('YP_004954722', ('YP_004954723', '0.997998880944914'))
('YP_003976920', ('YP_003978617', '0.858874031626461'))
('YP_003978715', ('YP_003977265', '0.953368848693883'))
('YP_003978714', ('YP_003978918', '0.994464483986513'))
('YP_006800810', ('YP_006798107', '0.94718615669024'))
('YP_004955126', ('YP_004954753', '0.989397683394054'))
('YP_003977031', ('YP_003976229', '0.93120325105747'))
('YP_003977030', ('YP_003977031', '0.99465220339044'))
('YP_003977032', ('YP_003981094', '0.93158664674762'))
('YP_003981249', ('YP_003979300', '0.866316114057977'))
('YP_003981248', ('YP_003981247', '0.996111674160064'))
('YP_003981241', ('YP_003981240', '0.994876359925948'))
('YP_003981247', ('YP_003982176', '0.93122937556683'))
('YP_005394060', ('YP_005394059', '0.999999999997387'))
('YP_003978928', ('YP_003980837', '0.676642311514762'))
('YP_006799261', ('YP_006799263', '0.99999999983161'))
('YP_005394435', ('YP_005394434', '0.999999994477909'))
('YP_003981062', ('YP_003981061', '0.994651192514655'))
('YP_003981061', ('YP_003977013', '0.94559866137652'))
('YP_003981060', ('YP_003979348', '0.999999999824985'))
('YP_003981066', ('YP_003980230', '0.926173798568322'))
('YP_003981065', ('YP_003980876', '0.966493453028567'))
('YP_003981064', ('YP_003981065', '0.999955212171618'))
('YP_005623112', ('YP_005623113', '1'))
('YP_003978435', ('YP_003982211', '0.93120325105747'))
('YP_004955234', ('YP_004955235', '0.922252102412253'))
('YP_004955233', ('YP_004956404', '0.931297946508212'))
('YP_005623298', ('YP_005623297', '0.994671684730153'))
('YP_006797772', ('YP_006797773', '0.994649449220152'))
('YP_003979397', ('YP_003979398', '0.994670740845694'))
('YP_006799084', ('YP_006799085', '0.999999999997492'))
('YP_003977863', ('YP_003976513', '0.927654755204092'))
('YP_003978382', ('YP_003980806', '0.931203274871998'))
('YP_003978381', ('YP_003978159', '0.905633144853837'))
('YP_003981110', ('YP_003977940', '0.93158815509506'))
('YP_005623755', ('YP_005623145', '0.795965042897056'))
('YP_003978540', ('YP_003978617', '0.853816945664504'))
('YP_003978541', ('YP_003976958', '0.99999999990056'))
('YP_003978542', ('YP_003976959', '0.999926060033614'))
('YP_003978543', ('YP_003977311', '0.931494176410115'))
('YP_006799792', ('YP_006800773', '0.931251554270804'))
('YP_005394890', ('YP_005394218', '0.77802824662082'))
('YP_005394135', ('YP_005394134', '0.996083881082429'))
('YP_004954962', ('YP_004954947', '0.989565994417027'))
('YP_005623332', ('YP_005623283', '0.93120325105747'))
('YP_005623626', ('YP_005623529', '0.931531546808595'))
('YP_004955995', ('YP_004955994', '0.996423945863145'))
('YP_005623628', ('YP_005623629', '0.994339172999752'))
('YP_006800624', ('YP_006798090', '0.931405195314248'))
('YP_006800625', ('YP_006797924', '0.561349559024849'))
('YP_006797800', ('YP_006800153', '0.931207318185851'))
('YP_006798356', ('YP_006799294', '0.999999999999999'))
('YP_003979579', ('YP_003979577', '0.931204351229837'))
('YP_004954849', ('YP_004954848', '0.999999848834829'))
('YP_003979570', ('YP_003978888', '0.985535354822535'))
('YP_003979571', ('YP_003979403', '0.548457375480545'))
('YP_005624238', ('YP_005624237', '0.994651192514655'))
('YP_002728132', ('YP_002728037', '0.960136345157024'))
('YP_002728130', ('YP_002728387', '0.999919958719107'))
('YP_003979374', ('YP_003976530', '0.417305940549272'))
('YP_003979375', ('YP_003979374', '0.96524887161578'))
('YP_003979370', ('YP_003980743', '0.961416181942601'))
('YP_003980422', ('YP_003977031', '0.931589519421115'))
('YP_003980423', ('YP_003980422', '0.996678194923855'))
('YP_003980550', ('YP_003976673', '0.931375973637811'))
('YP_003980880', ('YP_003980881', '0.999922123057562'))
('YP_003980881', ('YP_003982320', '0.930835793776109'))
('YP_003980554', ('YP_003977311', '0.931498729985431'))
('YP_003980885', ('YP_003979987', '0.659254592092164'))
('YP_003980889', ('YP_003980888', '0.994678511700761'))
('YP_003979411', ('YP_003978031', '0.998490074508003'))
('YP_002729197', ('YP_002728211', '0.999993023722272'))
('YP_003979413', ('YP_003976794', '0.939529136316341'))
('YP_003979415', ('YP_003980888', '0.999987008254547'))
('YP_003979414', ('YP_003979415', '0.99467480169578'))
('YP_003979416', ('YP_003978603', '0.999999999989242'))
('YP_004956063', ('YP_004956064', '0.999999885870693'))
('YP_006797602', ('YP_006798271', '0.860587755499627'))
('YP_002729357', ('YP_002729358', '0.999999999251997'))
('YP_005624344', ('YP_005624345', '0.996717938951654'))
('YP_004956577', ('YP_004956578', '0.988362574452642'))
('YP_005624564', ('YP_005622057', '0.998406929180493'))
('YP_005624565', ('YP_005623596', '0.946885587452436'))
('YP_005624561', ('YP_005623596', '0.723243994503816'))
('YP_003979707', ('YP_003979359', '0.931205041866324'))
('YP_005394247', ('YP_005394015', '0.999999999999078'))
('YP_004954873', ('YP_004956404', '0.931589237562722'))
('YP_005394242', ('YP_005395344', '0.931298466668728'))
('YP_002728829', ('YP_002728376', '1'))
('YP_002729510', ('YP_002729509', '0.999916082881686'))
('YP_005624697', ('YP_005623143', '0.931129826652729'))
('YP_002729514', ('YP_002728266', '0.999999999285297'))
('YP_005622764', ('YP_005626094', '0.930024906946069'))
('YP_003980940', ('YP_003980941', '0.999715541298637'))
('YP_005625185', ('YP_005625186', '0.99835330977035'))
('YP_003982004', ('YP_003976739', '0.900909088229318'))
('YP_003978940', ('YP_003977550', '0.962892521762898'))
('YP_003978941', ('YP_003976838', '0.973880781408611'))
('YP_003982008', ('YP_003976425', '0.93120325105747'))
('YP_003982557', ('YP_003982670', '0.920503069075453'))
('YP_005622699', ('YP_005622698', '0.996130470651266'))
('YP_004956116', ('YP_004956406', '0.931320807070752'))
('YP_003976396', ('YP_003976395', '0.994875153777212'))
('YP_003976394', ('YP_003976393', '0.999953046067172'))
('YP_005622508', ('YP_005625417', '0.931206386053847'))
('YP_004956289', ('YP_004955054', '0.93120325105747'))
('YP_003976660', ('YP_003976661', '0.933188817623111'))
('YP_005394024', ('YP_005394023', '0.994654247140028'))
('YP_003982486', ('YP_003980206', '0.905629257218755'))
('YP_005622507', ('YP_005622057', '0.998406929180493'))
('YP_005625367', ('YP_005626148', '0.93151850970286'))
('YP_005625360', ('YP_005624249', '0.651716969828943'))
('YP_005624763', ('YP_005624762', '0.994653054475357'))
('YP_003982176', ('YP_003980941', '0.931204210135287'))
('YP_003976803', ('YP_003982205', '0.93120325105747'))
('YP_003981475', ('YP_003981476', '0.941052364316841'))
('YP_005624833', ('YP_005624834', '0.994464510842581'))
('YP_003981472', ('YP_003981110', '0.931589597762477'))
('YP_005622328', ('YP_005622327', '0.994676834801381'))
('YP_005625413', ('YP_005625414', '0.999999116519129'))
('YP_005625073', ('YP_005625072', '0.944807271359147'))
('YP_003979314', ('YP_003979840', '0.840919646611314'))
('YP_004955008', ('YP_004955494', '0.994151920395448'))
('YP_003981878', ('YP_003976670', '0.555732047261613'))
('YP_003976486', ('YP_003982585', '0.93120325107354'))
('YP_003976485', ('YP_003982585', '0.931203769411005'))
('YP_003981870', ('YP_003976237', '0.930682273594696'))
('YP_004956595', ('YP_004956594', '0.994675185060638'))
('YP_003978890', ('YP_003979415', '0.931547627475385'))
('YP_003978896', ('YP_003978895', '0.994651192514655'))
('YP_004955926', ('YP_004956404', '0.922692131643121'))
('YP_003976244', ('YP_003976243', '0.997141908905771'))
('YP_003979961', ('YP_003979094', '0.946318942642444'))
('YP_003982393', ('YP_003982392', '0.999822075955662'))
('YP_003979969', ('YP_003976140', '0.931589661031199'))
('YP_003981615', ('YP_003978013', '0.931203980061193'))
('YP_003981618', ('YP_003979707', '0.931204829357436'))
('YP_003976933', ('YP_003981176', '0.931235912227023'))
('YP_003981582', ('YP_003980829', '0.931589600085691'))
('YP_004954999', ('YP_004954998', '0.996545532400742'))
('YP_003981584', ('YP_003981108', '0.999999999999975'))
('YP_006800826', ('YP_006799184', '0.99992165472795'))
('YP_006800079', ('YP_006800078', '0.999999999966902'))
('YP_004956628', ('YP_004955079', '0.930229278168585'))
('YP_004955130', ('YP_004954754', '0.952746175566244'))
('YP_002728367', ('YP_002728472', '0.420046457965422'))
('YP_004954848', ('YP_004956050', '0.999710143606123'))
('YP_003977535', ('YP_003979707', '0.931203330010384'))
('YP_003977822', ('YP_003978602', '0.605725636512523'))
('YP_003977820', ('YP_003978495', '0.93120325105747'))
('YP_003981059', ('YP_003978603', '0.999999998914705'))
('YP_005394803', ('YP_005394804', '0.994673027730181'))
('YP_005624709', ('YP_005624710', '0.991148586727579'))
('YP_004955227', ('YP_004955226', '0.988035209272651'))
('YP_003977750', ('YP_003976380', '0.931215015491205'))
('YP_006797748', ('YP_006797243', '0.949967241642685'))
('YP_003977753', ('YP_003978321', '0.931359270450175'))
('YP_003977755', ('YP_003979688', '0.999998728995438'))
('YP_003977756', ('YP_003977757', '0.997014664890163'))
('YP_003977757', ('YP_003979937', '0.96795643018759'))
('YP_006797742', ('YP_006799948', '0.661894867380164'))
('YP_003979387', ('YP_003980978', '0.687838429748863'))
('YP_003979389', ('YP_003979384', '0.999999949595687'))
('YP_006798235', ('YP_006798233', '0.959626115707287'))
('YP_006798234', ('YP_006798236', '0.81282917155896'))
('YP_003978390', ('YP_003978391', '0.999104031285085'))
('YP_003981123', ('YP_003981275', '0.931245156552378'))
('YP_004956514', ('YP_004956178', '0.931204258704658'))
('YP_003978554', ('YP_003976670', '0.900368185376814'))
('YP_005623747', ('YP_005625639', '0.93120325105747'))
('YP_003978559', ('YP_003980139', '0.672199170149815'))
('YP_005393976', ('YP_005395132', '0.958184665867348'))
('YP_004956513', ('YP_004956514', '0.999800309493099'))
('YP_002728037', ('YP_002728930', '0.997937619116974'))
('YP_006800389', ('YP_006800391', '0.951003131612665'))
('YP_002728035', ('YP_002728036', '1'))
('YP_005622271', ('YP_005623596', '0.883609107990005'))
('YP_006800382', ('YP_006798659', '0.931383224430612'))
('YP_005623088', ('YP_005623087', '0.994651192514657'))
('YP_005623817', ('YP_005623816', '0.999999253949746'))
('YP_005623811', ('YP_005626261', '0.46823765207852'))
('YP_003980720', ('YP_003980719', '0.995688823974554'))
('YP_006800638', ('YP_006800637', '0.999971510197266'))
('YP_003979569', ('YP_003978889', '0.999999973510932'))
('YP_003979568', ('YP_003977555', '0.931282854638054'))
('YP_006798341', ('YP_006798670', '0.93133069678598'))
('YP_003976655', ('YP_003976656', '0.978388031233347'))
('YP_006798345', ('YP_006798542', '0.847585603844359'))
('YP_005395236', ('YP_005393976', '0.93120325105747'))
('YP_005395235', ('YP_005394876', '0.957632481948704'))
('YP_005624229', ('YP_005622019', '0.93120325105747'))
('YP_003976122', ('YP_003978883', '0.931206341684764'))
('YP_003979369', ('YP_003979370', '0.997037719007058'))
('YP_005624226', ('YP_005622043', '0.945485335839975'))
('YP_003980439', ('YP_003980855', '0.931296770982887'))
('YP_003980433', ('YP_003979094', '0.945405959649302'))
('YP_005623255', ('YP_005625544', '0.731450417629576'))
('YP_005623924', ('YP_005623925', '1'))
('YP_003980434', ('YP_003980435', '0.999999999982452'))
('YP_005625252', ('YP_005622057', '0.998406929180493'))
('YP_003980544', ('YP_003980545', '0.994651195525107'))
('YP_003980548', ('YP_003981742', '0.78389210081192'))
('YP_002728697', ('YP_002729404', '0.999999999989772'))
('YP_005622515', ('YP_005622516', '1'))
('YP_005624443', ('YP_005624442', '0.99999999607151'))
('YP_003976133', ('YP_003978647', '0.855793141059151'))
('YP_002728587', ('YP_002729119', '0.999917800933734'))
('YP_005622457', ('YP_005622421', '0.931203251062868'))
('YP_005622454', ('YP_005625981', '0.931262816206618'))
('YP_005625086', ('YP_005625085', '0.992599754667038'))
('YP_005624442', ('YP_005624448', '0.999999999995683'))
('YP_005622455', ('YP_005622456', '0.999999705866403'))
('YP_004956360', ('YP_004956452', '0.93122462440062'))
('YP_006797344', ('YP_006798522', '0.93132308857871'))
('YP_006797340', ('YP_006798080', '0.476537335616915'))
('YP_006797341', ('YP_006798080', '0.931203438800237'))
('YP_004955923', ('YP_004955924', '0.990993554868726'))
('YP_002729508', ('YP_002728924', '0.999382891130012'))
('YP_005624685', ('YP_005624686', '0.999999177937686'))
('YP_005624681', ('YP_005626078', '0.607567245179942'))
('YP_003980899', ('YP_003977551', '0.94551444099525'))
('YP_003980898', ('YP_003980754', '0.931203251057471'))
('YP_005393936', ('YP_005394464', '0.931583510277643'))
('YP_003980897', ('YP_003976530', '0.930976201754702'))
('YP_005624776', ('YP_005624773', '0.931224649809795'))
('YP_003980891', ('YP_003977602', '0.931578092209336'))
('YP_003980890', ('YP_003978601', '0.939781795994254'))
('YP_003980892', ('YP_003982585', '0.931203789569631'))
('YP_003982013', ('YP_003976530', '0.945856488271026'))
('YP_003982012', ('YP_003982011', '0.994655769785735'))
('YP_003982011', ('YP_003982420', '0.999999990098442'))
('YP_003982010', ('YP_003978884', '0.931258878419891'))
('YP_004956104', ('YP_004954586', '0.93120325105747'))
('YP_003979607', ('YP_003978617', '0.862537495265108'))
('YP_003979600', ('YP_003979644', '0.931203346255759'))
('YP_003976650', ('YP_003976649', '0.994651192514655'))
('YP_003976651', ('YP_003976650', '0.994649409387922'))
('YP_003976658', ('YP_003980806', '0.913256680535152'))
('YP_003976659', ('YP_003978495', '0.93120325105747'))
('YP_002729168', ('YP_002729053', '0.998027746206953'))
('YP_002729165', ('YP_002729166', '1'))
('YP_002729164', ('YP_002729163', '0.99906688569959'))
('YP_005394348', ('YP_005393819', '0.993986788825026'))
('YP_005624774', ('YP_005624773', '0.996308018652477'))
('YP_003982165', ('YP_003976736', '0.999999999552517'))
('YP_003982164', ('YP_003976883', '1'))
('YP_005624822', ('YP_005624823', '0.999880070905637'))
('YP_005394568', ('YP_005394567', '0.994651192514782'))
('YP_005624824', ('YP_005622718', '0.931226533699068'))
('YP_005624827', ('YP_005624743', '0.931457401302137'))
('YP_004954523', ('YP_004956134', '0.949291085716494'))
('YP_003976946', ('YP_003980855', '0.931318122588884'))
('YP_004955589', ('YP_004955588', '1'))
('YP_005625426', ('YP_005623261', '0.931385844541837'))
('YP_005623143', ('YP_005623144', '0.998643306380145'))
('YP_006797176', ('YP_006799659', '0.902344517222425'))
('YP_003978885', ('YP_003980752', '0.931400743650575'))
('YP_003978884', ('YP_003980888', '0.931262721277428'))
('YP_003978880', ('YP_003977311', '0.931499633287654'))
('YP_003978883', ('YP_003980888', '0.99999997656129'))
('YP_003978882', ('YP_003978883', '0.999999837547622'))
('YP_003977633', ('YP_003982684', '0.931583060871765'))
('YP_003978889', ('YP_003980140', '0.999999999999838'))
('YP_003978888', ('YP_003978889', '0.999722475656543'))
('YP_003976723', ('YP_003982575', '0.931536044211093'))
('YP_003982383', ('YP_003982384', '0.999999999902441'))
('YP_003979916', ('YP_003980336', '0.931208750368285'))
('YP_003976238', ('YP_003976513', '0.92797118902158'))
('YP_005625227', ('YP_005625639', '0.999999999997286'))
('YP_003976906', ('YP_003980305', '0.877972529340195'))
('YP_005624912', ('YP_005625185', '0.997269712727594'))
('YP_004955109', ('YP_004956404', '0.931589355583238'))
('YP_006800832', ('YP_006800382', '0.931214965002598'))
('YP_003978772', ('YP_003978776', '0.972512220646461'))
('YP_003978770', ('YP_003979523', '0.931250713834946'))
('YP_003978774', ('YP_003978524', '0.93129453578676'))
('YP_003981917', ('YP_003981991', '0.931545261844431'))
('YP_003981260', ('YP_003979511', '0.739408301394744'))
('YP_003981263', ('YP_003981262', '0.828762427931892'))
('YP_003981913', ('YP_003981912', '0.994649402122168'))
('YP_006798975', ('YP_006798671', '0.826456337532226'))
('YP_003981267', ('YP_003979095', '0.999999961312421'))
('YP_003981910', ('YP_003980461', '0.999999968167374'))
('YP_003976344', ('YP_003976513', '0.928583624430615'))
('YP_003977529', ('YP_003977530', '0.999999785687301'))
('YP_006799240', ('YP_006800160', '0.931203251057471'))
('YP_004956309', ('YP_004956311', '1'))
('YP_006799249', ('YP_006798608', '0.651364867311332'))
('YP_003981046', ('YP_003980978', '0.561304459343048'))
('YP_003978415', ('YP_003979579', '0.931222705168912'))
('YP_003981289', ('YP_003976810', '0.931587710161735'))
('YP_005623131', ('YP_005623132', '0.994671692824989'))
('YP_003981284', ('YP_003981283', '0.994651192514655'))
('YP_003981283', ('YP_003981282', '0.998555280891518'))
('YP_003981282', ('YP_003980897', '0.962840732226399'))
('YP_003978419', ('YP_003980891', '0.931248515215565'))
('YP_006797596', ('YP_006797622', '0.999999975249592'))
('YP_004955210', ('YP_004955209', '1'))
('YP_006799408', ('YP_006798293', '0.881129823951119'))
('YP_003977747', ('YP_003982689', '0.558055614295426'))
('YP_003977745', ('YP_003978463', '0.90855035103005'))
('YP_003977744', ('YP_003980855', '0.931317924081577'))
('YP_006799407', ('YP_006800792', '0.931203251057471'))
('YP_003976940', ('YP_003980327', '0.691028588542681'))
('YP_006799405', ('YP_006799406', '0.995784691436072'))
('YP_004956583', ('YP_004956585', '0.931213142778285'))
('YP_003976334', ('YP_003982585', '0.931203251075464'))
('YP_003979170', ('YP_003978603', '0.999999999989138'))
('YP_006799625', ('YP_006798382', '0.926416633765086'))
('YP_005623002', ('YP_005623003', '0.994654247140024'))
('YP_005623003', ('YP_005624710', '0.93120325105747'))
('YP_003978566', ('YP_003978565', '0.999662740993852'))
('YP_003978567', ('YP_003978568', '0.994654470595711'))
('YP_003978565', ('YP_003978603', '0.999999943254669'))
('YP_003978568', ('YP_003979092', '0.931588016134098'))
('YP_003978569', ('YP_003976380', '0.931215056957073'))
('YP_005624183', ('YP_005624184', '0.993750720608679'))
('YP_003979280', ('YP_003979279', '0.995990280516713'))
('YP_003979283', ('YP_003979328', '0.889853209892386'))
('YP_005623795', ('YP_005623147', '0.57810778555956'))
('YP_003979918', ('YP_003978495', '0.93120325105747'))
('YP_006798111', ('YP_006798110', '0.999994342747185'))
('YP_002728027', ('YP_002729128', '0.9999527813079'))
('YP_005623310', ('YP_005623003', '0.93120325105747'))
('YP_005623311', ('YP_005623310', '0.995785939162287'))
('YP_005623480', ('YP_005624718', '0.931489025949397'))
('YP_005623481', ('YP_005622749', '0.923710208595859'))
('YP_003980717', ('YP_003981323', '0.931394410188882'))
('YP_003980715', ('YP_003980716', '0.999999917088737'))
('YP_006798376', ('YP_006798377', '1'))
('YP_005623869', ('YP_005624831', '0.862436767923115'))
('YP_005622143', ('YP_005622144', '0.999999998880185'))
('YP_003979593', ('YP_003976513', '0.929209088635072'))
('YP_003980397', ('YP_003980396', '0.999999999945612'))
('YP_005624213', ('YP_005622057', '0.998406929180493'))
('YP_003980238', ('YP_003978151', '0.931203316244976'))
('YP_003979353', ('YP_003976208', '0.999999999930054'))
('YP_003979350', ('YP_003979351', '0.981998579973632'))
('YP_003978188', ('YP_003976959', '0.787738230669263'))
('YP_005624218', ('YP_005622176', '0.931203251064638'))
('YP_005624219', ('YP_005626300', '0.931390004809652'))
('YP_003980154', ('YP_003977311', '0.93150232782777'))
('YP_003980155', ('YP_003980157', '0.950491508195243'))
('YP_003980156', ('YP_003980157', '0.997372095945055'))
('YP_003980157', ('YP_003980888', '0.999999995460646'))
('YP_003980400', ('YP_003981189', '0.959675440084289'))
('YP_003980153', ('YP_003978495', '0.93120325105747'))
('YP_003980158', ('YP_003978603', '0.99999999999973'))
('YP_003980159', ('YP_003979360', '0.999998081254732'))
('YP_005623511', ('YP_005622057', '0.998406929180493'))
('YP_005623664', ('YP_005623665', '0.999999999999058'))
('YP_003980233', ('YP_003979300', '0.931203567681937'))
('YP_002728205', ('YP_002728178', '0.999999987075407'))
('YP_002728206', ('YP_002729510', '0.916923391307053'))
('YP_005624363', ('YP_005622667', '0.901852173164413'))
('YP_005624365', ('YP_005624361', '0.929081844562972'))
('YP_005624548', ('YP_005622327', '0.931203265522183'))
('YP_005624541', ('YP_005624539', '0.93120325105747'))
('YP_002729089', ('YP_002729128', '0.931203251057502'))
('YP_003980978', ('YP_003979688', '0.736492474393903'))
('YP_004956355', ('YP_004956364', '0.999998696512361'))
('YP_003980972', ('YP_003982689', '0.559106316301713'))
('YP_003980970', ('YP_003982099', '0.999998750306594'))
('YP_003980977', ('YP_003980855', '0.931303147022958'))
('YP_003980975', ('YP_003978495', '0.93120325105747'))
('YP_003981912', ('YP_003981911', '0.994655769785735'))
('YP_002729573', ('YP_002728700', '0.99034776047571'))
('YP_003982716', ('YP_003982689', '0.528401492967324'))
('YP_005625164', ('YP_005625165', '0.999999999999888'))
('YP_002728371', ('YP_002728694', '0.936252910844188'))
('YP_003980579', ('YP_003979402', '0.931473669362713'))
('YP_005393922', ('YP_005393923', '0.994157518760059'))
('YP_002728378', ('YP_002729362', '0.931203255308478'))
('YP_003982530', ('YP_003982531', '0.950598947621552'))
('YP_003981911', ('YP_003980888', '0.999934791419565'))
('YP_003978962', ('YP_003978589', '0.93120325105747'))
('YP_003982024', ('YP_003982585', '0.93138451325322'))
('YP_003978969', ('YP_003979032', '0.931506316125922'))
('YP_004956636', ('YP_004955079', '0.930229278168585'))
('YP_006798671', ('YP_006798686', '0.642285803732764'))
('YP_003976640', ('YP_003976794', '0.931588369993849'))
('YP_003979615', ('YP_003979614', '0.994649174664078'))
('YP_003979614', ('YP_003981644', '0.931470701268003'))
('YP_003979613', ('YP_003978918', '0.999987965480535'))
('YP_005622831', ('YP_005622256', '0.99999997187524'))
('YP_003976649', ('YP_003979348', '0.999999999998311'))
('YP_003976648', ('YP_003978603', '0.999993401554755'))
('YP_003979618', ('YP_003976513', '0.926786708730394'))
('YP_005625303', ('YP_005624271', '0.986801213172767'))
('YP_003978672', ('YP_003981423', '0.849840348886029'))
('YP_002729158', ('YP_002728793', '0.782552234867192'))
('YP_004955938', ('YP_004956167', '0.931589620511685'))
('YP_003982153', ('YP_003981635', '0.439892540778166'))
('YP_004955843', ('YP_004954538', '0.919032427609699'))
('YP_005395084', ('YP_005395132', '0.79317805833809'))
('YP_003982449', ('YP_003980119', '0.931429347005639'))
('YP_003981454', ('YP_003981453', '0.999982813589046'))
('YP_006797103', ('YP_006797104', '0.999999999967554'))
('YP_004956007', ('YP_004956008', '0.994651192514655'))
('YP_003977198', ('YP_003977497', '0.690400737611128'))
('YP_003977354', ('YP_003978574', '0.983425720461552'))
('YP_003976425', ('YP_003980449', '0.559839839845843'))
('YP_003977356', ('YP_003982689', '0.591765776905927'))
('YP_003977357', ('YP_003977311', '0.93148065096318'))
('YP_003977602', ('YP_003977331', '0.931559553462415'))
('YP_003977351', ('YP_003978463', '0.908418048287616'))
('YP_003977600', ('YP_003981421', '0.907937852486479'))
('YP_003981916', ('YP_003980336', '0.931203328308711'))
('YP_003976731', ('YP_003976730', '0.99999983129526'))
('YP_003976730', ('YP_003976599', '0.999999999767425'))
('YP_003976733', ('YP_003977320', '0.931588739318834'))
('YP_003976732', ('YP_003976731', '0.994655769785735'))
('YP_005394173', ('YP_005394172', '0.999969369383565'))
('YP_003979907', ('YP_003980805', '0.907085265405239'))
('YP_003979906', ('YP_003981991', '0.931507273130388'))
('YP_005625237', ('YP_005625236', '0.999998296764654'))
('YP_003976229', ('YP_003976431', '0.931251083666857'))
('YP_006799967', ('YP_006799966', '1'))
('YP_006799961', ('YP_006799960', '0.999999040885719'))
('YP_006799962', ('YP_006799961', '1'))
('YP_003977290', ('YP_003982585', '0.93138960822457'))
('YP_003982581', ('YP_003982583', '0.945340417678891'))
('YP_003976917', ('YP_003979052', '0.787863684458739'))
('YP_003976911', ('YP_003980717', '0.80921661890731'))
('YP_003976838', ('YP_003977550', '0.994950621258057'))
('YP_003981266', ('YP_003976430', '0.931588302540836'))
('YP_003977990', ('YP_003977989', '0.999943550107133'))
('YP_004955448', ('YP_004955428', '0.922352641550711'))
('YP_003978747', ('YP_003977497', '0.69069486684832'))
('YP_003978745', ('YP_003976513', '0.928651372643784'))
('YP_003978740', ('YP_003980755', '0.931589279029766'))
('YP_006797612', ('YP_006800382', '0.931214850760063'))
('YP_003976428', ('YP_003980461', '0.99999924285064'))
('YP_003981922', ('YP_003982702', '0.999999998178429'))
('YP_003981923', ('YP_003976698', '0.931237941419416'))
('YP_006798961', ('YP_006798960', '1'))
('YP_004954865', ('YP_004955926', '0.918658810678257'))
('YP_003981926', ('YP_003981925', '0.985087331337379'))
('YP_006798966', ('YP_006797466', '0.924187743967538'))
('YP_003981924', ('YP_003979415', '0.931550111137209'))
('YP_003979490', ('YP_003980978', '0.545196591120468'))
('YP_003977518', ('YP_003977519', '1'))
('YP_005622302', ('YP_005626116', '0.994175361131115'))
('YP_003976826', ('YP_003976513', '0.928181656872486'))
('YP_006799503', ('YP_006799504', '0.766884069850586'))
('YP_005394824', ('YP_005393969', '0.970604984046567'))
('YP_004954646', ('YP_004955235', '0.926101144221756'))
('YP_003979495', ('YP_003976996', '0.999999993044682'))
('YP_004954645', ('YP_004954646', '0.998226688538645'))
('YP_003981707', ('YP_003981706', '0.999999977689574'))
('YP_003978401', ('YP_003980218', '0.64270374663892'))
('YP_004954880', ('YP_004954865', '0.933752218681551'))
('YP_002729527', ('YP_002729146', '0.937340967573975'))
('YP_003982846', ('YP_003981742', '0.773853553693126'))
('YP_006797724', ('YP_006797856', '0.978076840516064'))
('YP_003981636', ('YP_003981634', '0.999999092061312'))
